,Special
〇,○
',
画,畫,划,劃
,tian
锘,鍩
阗,闐
腼,靦
,tiao
条,條
鲦,鰷
龆,齠
粜,糶
,tie
铁,鐵
贴,貼
锇,鋨
,ting
听,聽
厅,廳
铤,鋌
颋,頲
,tong
统,統
铜,銅
同,仝
恸,慟
,tou
头,頭
,tu
秃,禿
图,圖
涂,凃,塗
钍,釷
,tuan
团,團,糰
抟,摶
,tui
颓,頹
蜕,蛻
,tun
鲀,魨
饨,飩
,tuo
驼,駝
它,牠
脱,脫
托,託
驮,馱
椭,橢
鸵,鴕
箨,籜
鼍,鼉
,wa
袜,襪
洼,窪
娲,媧
腽,膃
,wai
呙,咼
,wan
湾,灣
顽,頑
弯,彎
万,萬
挽,輓
塆,壪
绾,綰
鲩,鯇
纨,紈
,wang
网,網
辋,輞
,wei
伟,偉
伪,偽
为,為
围,圍
维,維
违,違
喂,餵
卫,衞,衛
纬,緯
谓,謂
苇,葦
诿,諉
鳚,䲁
闱,闈
玮,瑋
韪,韙
鳂,鰃
韦,韋
潍,濰
涠,潿
鲔,鮪
帏,幃
炜,煒
猬,蝟
,wen
纹,紋
稳,穩
闻,聞
问,問
温,溫
鳁,鰛
揾,搵
辒,轀
阌,閿
,weng
瓮,甕
鹟,鶲
,wo
窝,窩
卧,臥
涡,渦
龌,齷
莴,萵
,wu
乌,烏
雾,霧
吴,吳
误,誤
务,務
无,無
呜,嗚
污,汙
诬,誣
鹉,鵡
芜,蕪
坞,塢
捂,摀
鹜,鶩
鹀,鵐
怃,憮
邬,鄔
钨,鎢
骛,騖
妩,嫵
铻,鋙
庑,廡
,xi
习,習
牺,犧
袭,襲
锡,錫
戏,戲
细,細
席,蓆
系,繫,係
溪,谿
觋,覡
酾,釃
饩,餼
绤,綌
屃,屓
玺,璽
阋,鬩
,xia
陕,陜
虾,蝦
吓,嚇
狭,狹
峡,峽
侠,俠
辖,轄
硖,硤
苄,芐
,xian
显,顯
馅,餡
线,線
献,獻
鲜,鮮
纤,纖
县,縣
险,險
现,現
宪,憲
贤,賢
闲,閒,閑
衔,啣,銜
弦,絃
羡,羨
咸,鹹
藓,蘚
痫,癇
籼,秈
锨,鍁
鹇,鷳
蚬,蜆
苋,莧
跹,躚
狝,獮
岘,峴
铣,銑
猃,獫
娴,嫺,嫻
,xiang
详,詳
项,項
乡,鄉
响,響
向,嚮
镶,鑲
厢,廂
骧,驤
芗,薌
缃,緗
饷,餉
飨,饗
鲞,鯗
,xiao
销,銷
晓,曉
效,傚,効
嚣,囂
箫,簫
萧,蕭
啸,嘯
绡,綃
鸮,鴞
潇,瀟
枭,梟
哓,嘵
骁,驍
,xie
泻,瀉
胁,脅
携,攜
协,協
写,寫
谢,謝
泄,洩
蝎,蠍
谐,諧
挟,挾
绁,紲
铘,鋣
缬,纈
亵,褻
撷,擷
,xin
衅,釁
锌,鋅
,xing
兴,興
幸,倖
钘,鈃
饧,餳
荥,滎
骍,騂
陉,陘
,xiong
凶,兇
汹,洶
,xiu
绣,繡
锈,銹,鏽
修,脩
馐,饈
鸺,鵂
,xu
虚,虛
续,續
许,許
须,鬚,須
绪,緖,緒
叙,敘,敍
恤,卹
嘘,噓
诩,詡
勖,勗
顼,頊
,xuan
选,選
悬,懸
轩,軒
癣,癬
谖,諼
鹮,䴉
铉,鉉
绚,絢
,xue
学,學
鳕,鱈
,xun
训,訓
询,詢
寻,尋
讯,訊
逊,遜
驯,馴
勋,勳,勛
熏,燻
埙,塤
浔,潯
荨,蕁
鲟,鱘
,ya
鸦,鴉
亚,亞
哑,啞
轧,軋
鸭,鴨
压,壓
讶,訝
娅,婭
氩,氬
垭,埡
,yan
验,驗
颜,顏
盐,鹽
厌,厭
严,嚴
烟,煙,菸
岩,巖,嵒
咽,嚥
焰,燄
艳,艷,豔
谚,諺
砚,硯
阎,閻
檐,簷
腌,醃
魇,魘
鼹,鼴
厣,厴
餍,饜
谳,讞
俨,儼
兖,兗
滟,灩
阉,閹
彦,彥
酽,釅
恹,懨
赝,贗,贋
,yang
样,樣
痒,癢
阳,陽
杨,楊
养,養
扬,颺,揚
鸯,鴦
旸,暘
炀,煬
疡,瘍
玚,瑒
,yao
窑,窯
摇,搖
钥,鑰
遥,遙
谣,謠
药,藥,葯
肴,餚
瑶,瑤
鳐,鰩
轺,軺
峣,嶢
铫,銚
尧,堯
鹞,鷂
,幺,么
,ye
业,業
叶,葉
页,頁
爷,爺
谒,謁
晔,曄
靥,靨
玡,琊
烨,燁
馌,饁
邺,鄴
,yi
仪,儀
异,異
遗,遺
亿,億
台,枱
义,義
蚁,蟻
医,醫
议,議
谊,誼
忆,憶
艺,藝
译,譯
绎,繹
贻,貽
饻,餏
镒,鎰
颐,頤
呓,囈
饴,飴
诣,詣
缢,縊
镱,鐿
睾,睪
舣,艤
钇,釔
祎,禕
轶,軼
驿,驛
勚,勩
铱,銥
怿,懌
诒,詒
瘗,瘞
峄,嶧
迤,迆
,yin
银,銀
饮,飲
阴,陰
演,縯
隐,隱
瘾,癮
殷,慇
荫,蔭
铟,銦
慭,憖
,ying
赢,贏
营,營
樱,櫻
应,應
鹰,鷹
蝇,蠅
萤,螢
缨,纓
荧,熒
鹦,鸚
颖,穎
婴,嬰
莹,瑩
莺,鶯
璎,瓔
罂,罌
瘿,癭
茔,塋
滢,瀅
潆,瀠
嘤,嚶
蓥,鎣
颍,潁
萦,縈
撄,攖
,yong
咏,詠
拥,擁
佣,傭
涌,湧
踊,踴
痈,癰
镛,鏞
鲬,鯒
颙,顒
鳙,鱅
,you
邮,郵
诱,誘
犹,猶
优,優
忧,憂
游,遊
佑,祐
鱿,魷
铀,鈾
铕,銪
鲉,鮋
莸,蕕
,yu
狱,獄
鱼,魚
娱,娛
预,預
与,與
誉,譽
屿,嶼
语,語
渔,漁
于,於
,余,餘
御,禦
愈,瘉,癒
欲,慾
吁,籲
舆,輿
淤,瘀
逾,踰
郁,鬱
驭,馭
欤,歟
畲,畬
俣,俁
玙,璵
纡,紆
谀,諛
鹆,鵒
觎,覦
龉,齬
妪,嫗
鹬,鷸
钰,鈺
阈,閾
滪,澦
饫,飫
谕,諭
伛,傴
,馀,餘
蓣,蕷
,yuan
缘,緣
员,員
圆,圓
远,遠
园,園
愿,願
辕,轅
鸳,鴛
渊,淵
鼋,黿
橼,櫞
鸢,鳶
,yue
跃,躍
约,約
悦,悅
阅,閱,閲
粤,粵
岳,嶽
哕,噦
钺,鉞
,yun
韵,韻
晕,暈
匀,勻
运,運
云,雲
陨,隕
蕴,蘊,藴
酝,醖,醞
纭,紜
郓,鄆
郧,鄖
赟,贇
筼,篔
殒,殞
沄,澐
恽,惲
蕰,薀
涢,溳
韫,韞
氲,氳
愠,慍
,za
扎,紮
咱,偺
杂,雜
,zai
灾,災
载,載
,zan
暂,暫
赞,贊,讚
攒,攢
錾,鏨
瓒,瓚
趱,趲
,zang
脏,臟,髒
赃,贓
臜,臢
驵,駔
,zao
枣,棗
糟,蹧
凿,鑿
噪,譟
缲,繰
,ze
则,則
择,擇
泽,澤
责,責
啧,嘖
箦,簀
赜,賾
帻,幘
,zei
贼,賊
,zen
谮,譖
,zeng
赠,贈
缯,繒
,zha
闸,閘
榨,搾
诈,詐
栅,柵
铡,鍘
咤,吒
鲊,鮓
,zhai
债,債
斋,齋
,zhan
盏,盞
颤,顫
崭,嶄
战,戰
斩,斬
沾,霑
占,佔
毡,氈
栈,棧
绽,綻
谵,譫
觇,覘
飐,颭
辗,輾
,zhang
涨,漲
张,張
胀,脹
帐,帳
账,賬
,zhao
赵,趙
棹,櫂
诏,詔
钊,釗
,zhe
这,這
折,摺
锗,鍺
鹧,鷓
谪,謫
辄,輒
蛰,蟄
,zhen
贞,貞
侦,偵
镇,鎮
诊,診
阵,陣
针,針
赈,賑
桢,楨
轸,軫
祯,禎
鸩,鴆
,zheng
挣,掙
郑,鄭
争,爭
筝,箏
睁,睜
征,徵
症,癥
证,證,証
狰,猙
钲,鉦
峥,崢
诤,諍
锃,鋥
铮,錚
帧,幀
,zhi
织,織
质,質
执,執
职,職
侄,姪
纸,紙
帜,幟
制,製
致,緻
只,隻
志,誌
掷,擲
挚,摯
滞,滯
鸷,鷙
贽,贄
絷,縶
骘,騭
锧,鑕
踬,躓
觯,觶
铚,銍
轵,軹
踯,躑
轾,輊
栀,梔
,zhong
肿,腫
种,種
众,眾
终,終
钟,鍾,鐘
冢,塚
,zhou
昼,晝
皱,皺
周,週
轴,軸
纣,紂
绉,縐
辀,輈
鸼,鵃
胄,冑
,zhu
诸,諸
嘱,囑
驻,駐
猪,豬
着,著
铸,鑄
烛,燭
筑,築
注,註
朱,硃
贮,貯
苎,苧
潴,瀦
橥,櫫
伫,佇
瞩,矚
槠,櫧
诛,誅
铢,銖
纻,紵
,zhua
挝,撾
,zhuan
赚,賺
砖,磚
专,專
转,轉
馔,饌
颛,顓
啭,囀
,zhuang
装,裝
状,狀
壮,壯
庄,莊
桩,樁
妆,粧,妝
,zhui
赘,贅
坠,墜
锥,錐
缀,綴
缒,縋
骓,騅
,zhun
准,準
谆,諄
,zhuo
浊,濁
镯,鐲
诼,諑
棁,梲
,zi
资,資
咨,諮
渍,漬
眦,眥
缁,緇
鹚,鶿
赀,貲
镃,鎡
龇,齜
鲻,鯔
辎,輜
锱,錙
兹,玆,茲
,zong
踪,蹤
总,總
纵,縱
综,綜
疭,瘲
偬,傯
,zou
骤,驟
诹,諏
邹,鄒
驺,騶
鲰,鯫
诌,謅
,zu
组,組
诅,詛
镞,鏃
,zuan
钻,鑽
缵,纘
躜,躦
,zui
槜,檇
,zun
鳟,鱒
