,Special
〇,○
',
画,畫,划,劃
苁,蓯
,cou
凑,湊
辏,輳
,cu
粗,麤
,cuan
窜,竄
蹿,躥
撺,攛
镩,鑹
,cun
村,邨
寸,吋
,cuo
错,錯
锉,銼
,da
达,達
垯,墶
鞑,韃
荙,薘
,dai
贷,貸
带,帶
,dan
诞,誕
胆,膽
单,單
弹,彈
担,擔
耽,躭
钽,鉭
箪,簞
掸,撣
惮,憚
瘅,癉
殚,殫
郸,鄲
,dang
档,檔
党,黨
荡,盪,蕩
挡,攩,擋
当,當,噹
裆,襠
铛,鐺
垱,壋
谠,讜
珰,璫
凼,氹
砀,碭
筜,簹
,dao
导,導
岛,島
盗,盜
祷,禱
捣,搗,擣
焘,燾
鱽,魛
,de
锝,鍀
,deng
灯,燈
邓,鄧
镫,鐙
,di
递,遞
敌,敵
抵,牴
缔,締
涤,滌
镝,鏑
籴,糴
觌,覿
诋,詆
谛,諦
轪,軑
,dian
颠,顛
垫,墊
电,電
点,點
淀,澱
钿,鈿
癫,癲
巅,巔
,diao
钓,釣
调,調
吊,弔
雕,鵰,彫
铞,銱
鲷,鯛
,die
,叠,疊
谍,諜
鲽,鰈
,ding
订,訂
钉,釘
顶,頂
锭,錠
,diu
丢,丟
铥,銩
,dong
冻,凍
栋,棟
东,東
动,動
冬,鼕
胨,腖
鸫,鶇
,dou
豆,荳
斗,鬥
钭,鈄
窦,竇
,du
赌,賭
独,獨
读,讀
牍,牘
镀,鍍
笃,篤
椟,櫝
阇,闍
渎,瀆
犊,犢
黩,黷
,duan
断,斷
缎,緞
锻,鍛
,dui
队,隊
对,對
兑,兌
怼,懟
镦,鐓
,dun
顿,頓
吨,噸
钝,鈍
炖,燉
趸,躉
,duo
夺,奪
堕,墮
缍,綞
铎,鐸
饳,飿
亸,嚲
,e
额,額
饿,餓
鹅,鵝
恶,噁,惡
鳄,鱷
讹,訛
垩,堊
轭,軛
阏,閼
谔,諤
鹗,鶚
锷,鍔
颚,顎
厄,阨
,er
儿,兒
饵,餌
尔,爾
贰,貳
铒,鉺
鸸,鴯
迩,邇
,fa
阀,閥
罚,罰
发,髮,發
珐,琺
,fan
烦,煩
贩,販
饭,飯
泛,汎,氾
范,範
矾,礬
钒,釩
,fang
访,訪
纺,紡
仿,倣
鲂,魴
鳑,鰟
钫,鈁
,fei
费,費
飞,飛
废,廢
镄,鐨
鲱,鯡
绯,緋
诽,誹
,fen
愤,憤
坟,墳
纷,紛
奋,奮
粪,糞
分,份
偾,僨
鲼,鱝
,feng
凤,鳳
锋,鋒
讽,諷
缝,縫
疯,瘋
风,風
丰,豐
峰,峯
枫,楓
冯,馮
砜,碸
沣,灃
沨,渢
,ga
钆,釓
,gai
盖,蓋
该,該
钙,鈣
赅,賅
,gan
赶,趕
秆,稈
杆,桿
干,榦,幹,乾
赣,贛
鳡,鱤
尴,尷
绀,紺
,gang
岗,崗
刚,剛
纲,綱
杠,槓
冈,岡
钢,鋼
戆,戇
,gao
诰,誥
锆,鋯
缟,縞
,ge
阁,閣
搁,擱
鸽,鴿
合,閤
个,個,箇
铬,鉻
镉,鎘
,gei
给,給
,gen
亘,亙
,geng
鲠,鯁
绠,綆
赓,賡
,gong
巩,鞏
贡,貢
宫,宮
龚,龔
,gou
够,夠
沟,溝
购,購
钩,鉤,鈎
构,搆,構
缑,緱
诟,詬
觏,覯
,gu
顾,顧
谷,穀
雇,僱
鲴,鯝
鹘,鶻
钴,鈷
毂,轂
锢,錮
鸪,鴣
诂,詁
馉,餶
蛊,蠱
,gua
刮,颳
挂,掛
蜗,蝸
鸹,鴰
脶,腡
诖,詿
剐,剮
,guai
拐,柺,枴
,guan
馆,館
关,關
惯,慣
贯,貫
观,觀
掼,摜
鹳,鸛
鳏,鰥
鳤,䲘
,guang
广,廣
犷,獷
,gui
龟,龜
轨,軌
规,規
贵,貴
柜,櫃
归,歸
诡,詭
闺,閨
沩,溈
鳜,鱖
鲑,鮭
匮,匱
刽,劊
妫,媯
刿,劌
桧,檜
匦,匭
,gun
滚,滾
辊,輥
绲,緄
鲧,鯀
衮,袞
,guo
锅,鍋
过,過
国,國
锞,錁
埚,堝
帼,幗
馃,餜
椁,槨
掴,摑
蝈,蟈
,ha
铪,鉿
,hai
骇,駭
颏,頦
,han
汉,漢
韩,韓
焊,銲
捍,扞
顸,頇
颔,頷
敛,歛
,hang
颃,頏
,hao
号,號
颢,顥
镐,鎬
蚝,蠔
灏,灝
,he
贺,賀
和,龢
鹤,鶴
颌,頜
阖,闔
龁,齕
纥,紇
诃,訶
阂,閡
,heng
横,橫
恒,恆
黉,黌
鸻,鴴
绗,絎
,hong
红,紅
轰,轟
哄,鬨
鸿,鴻
荭,葒
唝,嗊
讧,訌
闳,閎
,hou
后,後
鲎,鱟
糇,餱
,hu
护,護
壶,壺
户,戶
糊,餬
胡,鬍
沪,滬
冱,沍
